Cidade,Área,Impostos,Seguro,Total
Gotham,48,0,6,2119
Gotham,280,1059,77,11140
Gotham,170,423,64,7686
Gotham,90,0,50,3310
Metrópolis,35,13,14,1519
Gotham,16,100,30,2820
Metrópolis,68,48,13,1661
Gotham,150,0,52,3452
Gotham,112,188,34,3992
Gotham,145,750,77,8027
Metrópolis,47,46,14,1720
Gotham,128,242,58,5923
Gotham,250,334,68,4902
Gotham,120,0,21,1731
Gotham,110,300,41,3041
Gotham,400,484,91,6575
Gotham,35,317,33,4000
Gotham,97,0,71,6871
Gotham,70,116,14,1530
Gotham,20,67,40,3399
Gotham,130,209,45,4854
Gotham,120,292,26,3718
Gotham,110,192,49,5041
Gotham,97,303,39,4072
Gotham,84,804,77,8795
Gotham,180,105,43,2948
Gotham,286,1000,151,11150
Gotham,110,670,30,4245
Gotham,196,1458,77,9985
Gotham,33,95,53,4850
Gotham,400,542,136,9678
Gotham,170,0,26,2507
Gotham,90,109,34,2343
Gotham,184,692,18,4810
Gotham,117,150,91,8001
Gotham,11,0,15,1196
Metrópolis,57,66,11,1482
Gotham,16,30,11,891
Gotham,180,240,64,6876
Gotham,250,517,77,9894
Gotham,220,434,106,7540
Gotham,360,1467,40,7040
Gotham,122,0,58,4558
Gotham,138,690,89,8569
Gotham,110,0,18,2653
Gotham,220,0,44,5044
Gotham,118,185,61,6137
Gotham,180,0,68,7218
Gotham,52,63,17,1920
Gotham,30,21,20,1591
Gotham,160,419,20,3589
Metrópolis,209,237,39,3419
Gotham,450,1345,143,10990
Gotham,117,700,30,5310
Gotham,200,71,68,4639
Gotham,128,605,49,7054
Gotham,140,167,47,5394
Gotham,180,859,89,9948
Gotham,280,875,41,7116
Gotham,48,137,35,3612
Gotham,75,0,26,2774
Gotham,44,0,12,3445
Gotham,35,30,14,1144
Gotham,320,642,121,8763
Metrópolis,98,84,16,2060
Metrópolis,51,45,17,2069
Gotham,187,1424,68,10700
Gotham,62,167,61,6578
Gotham,130,100,55,5555
Metrópolis,600,819,83,7525
Gotham,520,1500,136,10640
Gotham,86,375,83,8758
Gotham,72,334,69,6934
Gotham,50,0,19,1239
Gotham,298,1384,121,9505
Metrópolis,74,120,23,2643
Gotham,41,0,32,2952
Metrópolis,80,110,19,2329
Gotham,130,100,58,5858
Gotham,64,92,27,2910
Gotham,50,9,35,3944
Gotham,200,0,53,3553
Gotham,70,542,89,9781
Metrópolis,41,65,14,2419
Gotham,89,0,25,2925
Gotham,105,125,28,1953
Gotham,150,0,32,2133
Gotham,50,0,25,2425
Gotham,180,459,82,5941
Gotham,50,0,16,1016
Metrópolis,70,5,22,1477
Gotham,177,342,91,6433
Gotham,18,0,22,1732
Gotham,200,1100,44,4044
Gotham,45,0,70,8590
Metrópolis,70,43,10,1023
Gotham,66,13,28,2928
Gotham,48,90,15,1345
Gotham,55,0,26,2676
Gotham,350,325,76,5401
Gotham,260,842,64,8116
Gotham,78,35,26,2706
Gotham,35,0,23,2223
Gotham,106,110,32,2242
Gotham,38,0,25,1675
Gotham,64,205,21,2656
Gotham,260,0,68,4568
Metrópolis,50,105,7,2112
Gotham,170,85,58,6343
Gotham,120,264,62,6249
Gotham,700,402,102,11500
Gotham,270,89,60,4127
Gotham,40,0,32,4385
Gotham,40,59,15,1054
Gotham,40,0,14,1462
Gotham,42,88,26,2564
Gotham,62,0,27,2677
Gotham,106,250,64,6264
Gotham,103,126,56,5526
Gotham,113,0,82,7132
Gotham,164,550,77,8467
Gotham,110,15,43,2858
Gotham,110,196,56,5885
Gotham,136,312,54,6366
Metrópolis,65,83,16,1679
Gotham,62,35,18,2133
Gotham,47,0,20,2187
Gotham,50,213,45,4553
Gotham,79,209,39,4148
Gotham,250,234,69,7083
Gotham,50,0,16,1606
Gotham,150,235,76,5311
Metrópolis,76,100,9,1109
Gotham,72,159,23,2502
Gotham,35,200,51,5531
Metrópolis,85,63,15,1786
Metrópolis,60,49,14,1746
Metrópolis,47,33,17,1595
Gotham,104,254,115,10280
Metrópolis,203,117,50,3467
Gotham,136,260,45,5318
Gotham,53,200,58,5452
Gotham,40,75,54,4809
Gotham,38,0,22,1702
Gotham,340,1667,36,7603
Metrópolis,134,177,32,3709
Gotham,97,0,39,3492
Gotham,90,59,18,1227
Gotham,260,417,102,11120
Gotham,66,0,21,2027
Gotham,92,448,38,6166
Gotham,92,21,54,5075
Gotham,30,0,12,912
Gotham,27,1,45,4951
Gotham,175,380,49,3629
Gotham,326,1605,83,11000
Metrópolis,119,100,16,2242
Gotham,23,40,26,2499
Gotham,260,667,102,10770
Gotham,87,150,101,9021
Gotham,65,0,28,1828
Gotham,250,192,64,4456
Metrópolis,300,20,62,4182
Metrópolis,70,78,23,2401
Gotham,68,100,58,5858
Metrópolis,220,417,101,10420
Metrópolis,91,175,29,3154
Metrópolis,230,320,77,5497
Metrópolis,48,45,13,1296
Gotham,60,200,70,6770
Gotham,16,35,11,896
Gotham,100,291,18,2809
Gotham,300,417,52,3870
Gotham,151,475,87,9062
Gotham,150,730,97,10530
Gotham,57,67,20,2157
Gotham,30,144,16,3147
Metrópolis,53,85,40,4585
Gotham,270,417,103,7320
Gotham,78,334,74,7608
Gotham,20,67,40,3399
Gotham,140,200,51,4250
Gotham,118,334,29,3463
Metrópolis,235,541,70,9561
Gotham,80,117,45,4677
Gotham,50,85,12,3907
Metrópolis,55,86,32,2955
Gotham,400,1250,128,9878
Gotham,63,0,23,2373
Gotham,200,125,77,8702
Gotham,58,192,64,6046
Gotham,180,3600,70,8270
Gotham,159,444,19,6744
Gotham,88,35,20,2240
Metrópolis,70,0,5,1689
Gotham,53,0,16,1816
Gotham,22,0,28,2728
Gotham,80,60,26,1786
Gotham,30,0,8,3078
Metrópolis,157,442,89,9831
Gotham,450,400,76,5491
Gotham,90,53,8,2928
Gotham,88,0,23,2623
Metrópolis,46,0,25,3275
Gotham,189,559,102,10630
Gotham,49,0,16,1661
Gotham,180,1200,89,10790
Gotham,128,500,89,8679
Gotham,60,170,10,1998
Gotham,74,48,22,2762
Gotham,80,180,32,4512
Gotham,150,0,38,2538
Gotham,70,182,25,2906
Gotham,113,250,61,6411
Metrópolis,50,0,14,894
Gotham,300,1091,83,10670
Gotham,140,250,64,6620
Gotham,350,762,136,9898
Gotham,78,82,26,1808
Metrópolis,110,218,54,5432
Gotham,110,0,14,4119
Gotham,136,242,61,6643
Gotham,56,72,22,2885
Gotham,20,68,36,3306
Gotham,115,400,37,5237
Gotham,64,11,18,1929
Gotham,60,42,32,3564
Gotham,132,45,36,4358
Gotham,210,750,51,6051
Gotham,300,284,77,5441
Gotham,130,108,50,3458
Gotham,108,522,57,6298
Gotham,75,203,10,4144
Gotham,250,150,68,4718
Metrópolis,55,17,7,997
Gotham,129,450,38,4698
Gotham,158,375,84,9159
Gotham,100,384,42,4874
Gotham,130,167,112,7729
Gotham,25,25,19,1264
Gotham,240,525,140,9930
Gotham,196,559,42,6101
Gotham,39,157,42,3959
Metrópolis,46,42,13,1275
Gotham,120,84,38,2622
Gotham,270,0,110,10960
Metrópolis,462,590,76,5666
Gotham,35,0,23,3648
Gotham,90,0,45,4442
Gotham,98,383,23,3566
Gotham,159,251,54,5741
Gotham,115,495,89,9414
Metrópolis,60,25,17,1857
Gotham,67,250,27,3876
Gotham,165,573,58,6831
Gotham,100,0,39,3039
Gotham,55,230,10,4133
Metrópolis,35,92,8,954
Gotham,51,0,47,4377
Gotham,73,150,16,2116
Gotham,35,100,30,2810
Gotham,46,0,21,1721
Metrópolis,350,500,91,7091
Gotham,28,198,5,3692
Gotham,125,150,46,3196
Gotham,44,0,13,4023
Gotham,95,67,39,4006
Gotham,310,900,58,7858
Gotham,48,0,18,1468
Gotham,30,4247,76,9323
Metrópolis,46,43,8,1181
Gotham,141,0,94,9144
Gotham,58,89,21,2320
Gotham,48,0,18,1468
Gotham,98,200,70,7120
Metrópolis,50,320,11,1523
Gotham,250,1167,89,10960
Gotham,100,240,51,5341
Gotham,600,966,103,7869
Metrópolis,114,176,18,2561
Metrópolis,67,42,16,1788
Gotham,130,75,71,6739
Gotham,114,208,36,4031
Gotham,52,0,19,1469
Gotham,31,0,30,2760
Gotham,78,0,32,2942
Gotham,60,212,73,6885
Gotham,40,0,31,2999
Gotham,145,584,58,6805
Gotham,127,500,88,9398
Metrópolis,180,252,23,3575
Gotham,120,209,45,5004
Gotham,40,223,28,4551
Gotham,160,0,37,2437
Metrópolis,130,184,36,4170
Gotham,80,195,38,4440
Gotham,112,413,36,4729
Gotham,30,0,20,2406
Gotham,184,750,58,6508
Gotham,56,0,32,3062
Gotham,40,248,39,4587
Gotham,65,25,23,2478
Gotham,146,600,45,5545
Metrópolis,60,84,17,1600
Gotham,240,1398,37,7358
Gotham,200,500,98,7098
Gotham,69,70,20,2110
Gotham,224,679,77,10060
Gotham,109,417,58,6175
Gotham,50,93,30,3063
Metrópolis,59,47,17,1784
Metrópolis,93,63,14,1854
Gotham,580,2084,105,9149
Gotham,216,870,70,9840
Gotham,90,130,49,5229
Metrópolis,55,37,10,1287
Gotham,40,109,30,2991
Gotham,87,253,45,4728
Gotham,60,25,25,1650
Gotham,70,0,24,2469
Gotham,243,559,70,5248
Gotham,78,317,77,8374
Gotham,103,80,20,1400
Gotham,72,3,23,2566
Gotham,95,566,102,10530
Gotham,135,543,54,6633
Gotham,310,2506,41,10110
Gotham,68,59,33,3157
Gotham,266,391,55,6841
Gotham,172,890,99,10440
Gotham,240,459,113,8072
Metrópolis,108,0,58,5538
Gotham,50,0,23,2324
Gotham,180,775,56,8746
Metrópolis,380,455,61,4516
Gotham,125,495,32,4578
Gotham,50,0,6,1986
Gotham,51,84,22,2173
Gotham,128,0,35,3693
Metrópolis,51,15,11,1332
Metrópolis,45,10,7,887
Gotham,180,334,38,2872
Gotham,120,230,26,3506
Gotham,87,231,26,3541
Gotham,116,250,102,9567
Gotham,200,328,64,7507
Gotham,556,1084,113,8697
Metrópolis,62,14,39,3853
Gotham,96,140,45,4907
Gotham,61,130,26,3041
Metrópolis,48,42,20,2052
Gotham,33,0,37,3237
Gotham,175,264,59,4223
Gotham,108,324,45,4649
Gotham,100,1417,42,8509
Gotham,81,67,16,1833
Gotham,29,0,14,1314
Gotham,60,128,22,2544
Gotham,70,155,22,2397
Gotham,130,71,51,5439
Gotham,83,159,33,3381
Gotham,320,250,83,5833
Metrópolis,87,200,9,1519
Gotham,240,30,83,8913
Gotham,108,209,43,3052
Gotham,160,470,98,9983
Gotham,116,604,102,9906
Gotham,82,0,9,3000
Gotham,72,100,17,2279
Gotham,160,221,50,5371
Gotham,60,26,34,3331
Gotham,50,7,47,4142
Gotham,79,4,36,3518
Metrópolis,94,60,26,2651
Gotham,200,500,91,6591
Gotham,60,100,44,4294
Gotham,98,383,26,3809
Metrópolis,75,121,16,2007
Gotham,20,67,40,3399
Metrópolis,46,14,7,971
Gotham,22,0,17,1091
Gotham,49,66,33,3467
Metrópolis,105,165,21,3006
Gotham,140,475,32,4357
Gotham,127,361,70,7481
Gotham,200,575,121,8696
Gotham,100,100,23,2523
Gotham,200,167,46,3214
Gotham,25,25,19,1264
Gotham,160,400,37,4852
Gotham,145,238,109,7637
Metrópolis,62,38,16,2004
Metrópolis,50,36,13,1472
Metrópolis,74,40,12,1426
Gotham,190,392,103,7295
Metrópolis,326,523,64,5657
Gotham,240,417,85,9154
Gotham,40,0,33,2633
Gotham,42,151,30,3731
Gotham,90,280,26,2306
Gotham,84,250,77,7177
Gotham,70,48,17,1865
Gotham,110,205,45,4929
Gotham,110,334,35,4219
Gotham,90,89,83,7572
Metrópolis,308,673,71,5444
Gotham,61,134,51,4949
Gotham,320,584,106,11220
Gotham,50,24,30,3054
Gotham,80,0,92,7293
Gotham,44,104,25,2479
Gotham,130,37,39,3076
Gotham,400,0,79,5279
Gotham,130,160,49,5218
Gotham,96,125,32,3507
Gotham,57,209,36,4295
Gotham,240,385,66,4801
Gotham,30,125,26,4052
Gotham,20,130,23,2555
Gotham,45,42,12,1014
Gotham,240,100,89,9489
Gotham,22,40,27,2552
Gotham,240,1417,53,8020
Gotham,96,125,32,3507
Gotham,156,0,26,3826
Gotham,400,816,125,9241
Metrópolis,60,16,12,1253
Metrópolis,37,0,10,1106
Gotham,73,84,16,2078
Gotham,182,459,106,7565
Gotham,300,542,68,5110
Gotham,48,0,21,2061
Gotham,76,170,29,2689
Gotham,57,50,30,2964
Gotham,104,0,39,4339
Gotham,65,24,26,2777
Gotham,64,75,26,3089
Gotham,31,120,42,3852
Gotham,35,124,45,4120
Gotham,58,165,12,3818
Gotham,55,3,30,2715
Gotham,53,109,42,4411
Gotham,35,30,14,1144
Gotham,180,134,54,3769
Gotham,71,0,5,2166
Gotham,180,250,44,5294
Gotham,32,234,45,5379
Gotham,98,450,108,10510
Gotham,180,413,51,6656
Gotham,47,0,23,2353
Gotham,109,134,32,4412
Gotham,109,125,45,4966
Gotham,116,330,31,3801
Gotham,111,264,32,4166
Gotham,120,0,114,10160
Gotham,178,660,85,9145
Gotham,39,95,22,2367
Gotham,59,42,12,1355
Gotham,54,0,77,7227
Gotham,35,0,23,2006
Gotham,244,1438,89,11020
Gotham,170,225,49,3474
Gotham,300,400,71,5146
Gotham,35,25,15,1579
Gotham,114,42,91,6133
Gotham,300,400,83,5983
Gotham,166,426,51,6342
Gotham,90,0,27,2701
Gotham,100,9,151,10160
Metrópolis,76,100,9,1109
Gotham,200,437,89,9976
Gotham,156,147,31,2178
Gotham,94,19,39,2598
Metrópolis,53,73,7,1218
Gotham,85,0,13,3239
Gotham,50,30,16,1766
Gotham,127,407,70,7131
Gotham,35,30,14,1144
Gotham,370,1000,119,9019
Metrópolis,70,84,37,3611
Gotham,79,0,58,5358
Gotham,46,133,39,3872
Gotham,62,92,25,2517
Gotham,40,65,9,994
Gotham,52,0,13,4178
Gotham,58,250,30,2980
Metrópolis,123,148,26,3008
Metrópolis,80,75,16,1616
Gotham,90,142,70,6472
Gotham,190,725,72,8655
Gotham,40,24,25,2363
Gotham,120,163,38,2702
Gotham,57,115,40,3995
Metrópolis,70,9,12,1161
Gotham,120,569,22,8082
Gotham,135,468,96,9387
Gotham,300,475,153,10740
Gotham,36,0,17,1917
Gotham,33,0,17,1572
Gotham,65,209,36,3695
Gotham,67,0,22,2642
Gotham,51,79,32,2951
Gotham,38,0,32,2822
Gotham,80,135,23,2442
Gotham,275,0,113,9849
Gotham,33,95,26,2963
Gotham,40,0,15,987
Gotham,210,1110,60,8115
Gotham,90,414,68,4982
Gotham,40,92,45,4257
Gotham,50,0,21,2521
Metrópolis,50,277,15,1412
Gotham,68,229,77,7248
Gotham,20,0,27,2087
Gotham,189,371,74,8388
Gotham,160,858,83,9625
Metrópolis,60,0,6,1850
Gotham,440,259,68,4827
Gotham,33,0,27,2427
Gotham,354,958,134,9942
Gotham,110,50,73,4923
Gotham,58,0,31,2081
Gotham,56,0,16,1766
Metrópolis,100,100,19,1369
Metrópolis,270,459,113,8072
Gotham,75,0,22,1472
Gotham,380,1125,44,11070
Gotham,260,594,77,8386
Gotham,147,630,58,6496
Gotham,90,50,39,4089
Gotham,40,0,10,660
Gotham,20,130,23,2555
Gotham,80,60,37,2497
Gotham,147,513,28,4261
Gotham,109,319,83,8058
Gotham,200,1,26,3527
Gotham,272,92,79,9871
Gotham,96,162,23,3571
Metrópolis,92,145,26,2871
Gotham,36,183,64,6010
Gotham,23,0,28,2577
Gotham,216,657,64,7589
Gotham,278,965,70,10570
Gotham,68,150,30,3180
Gotham,20,130,23,2555
Gotham,350,1367,145,11110
Metrópolis,80,171,28,3231
Gotham,250,500,77,9177
Gotham,164,210,115,11120
Gotham,66,0,13,3880
Gotham,240,292,53,3845
Gotham,50,0,20,3420
Gotham,60,38,19,1257
Metrópolis,50,50,9,1169
Gotham,127,472,63,6505
Gotham,180,292,89,10380
Gotham,230,589,74,8043
Metrópolis,50,14,7,1044
Gotham,60,90,25,2707
Gotham,47,0,16,2764
Gotham,90,117,31,3472
Gotham,30,30,24,2176
Metrópolis,76,97,13,1607
Gotham,110,500,96,10200
Gotham,43,0,13,1353
Gotham,60,132,49,4741
Gotham,150,142,51,5843
Gotham,65,398,51,6949
Gotham,72,0,21,2082
Gotham,120,495,46,3541
Metrópolis,70,70,21,1981
Gotham,250,1100,51,7681
Metrópolis,76,67,25,2622
Gotham,60,59,7,2577
Metrópolis,100,15,34,2299
Gotham,40,0,21,2031
Gotham,35,55,20,1355
Gotham,23,59,27,2579
Gotham,323,985,151,11140
Gotham,450,917,88,6805
Gotham,156,385,102,10810
Gotham,130,0,15,2615
Gotham,108,142,70,6725
Gotham,20,10,13,1023
Gotham,165,617,45,6622
Metrópolis,120,80,23,2553
Gotham,200,375,65,4760
Gotham,132,400,51,6101
Gotham,154,0,26,3068
Gotham,113,50,39,4089
Gotham,310,675,106,7781
Gotham,70,84,42,4826
Gotham,156,0,26,3826
Gotham,48,0,22,2082
Metrópolis,54,46,10,1021
Metrópolis,256,1167,39,8106
Gotham,20,0,26,2076
Gotham,72,27,20,2212
Gotham,159,49,41,4596
Gotham,220,468,80,8347
Gotham,190,304,62,4466
Gotham,25,0,18,1533
Gotham,100,167,91,6258
Gotham,171,715,102,10720
Gotham,230,513,51,6964
Metrópolis,75,162,21,3033
Gotham,68,142,21,2288
Gotham,160,5,25,1690
Gotham,100,42,83,8325
Metrópolis,55,44,10,1256
Gotham,50,0,32,2889
Gotham,39,0,20,2197
Gotham,16,59,16,1275
Gotham,200,843,74,9966
Gotham,83,167,53,3920
Gotham,22,84,26,2560
Metrópolis,80,83,23,2610
Gotham,100,338,76,5834
Gotham,210,450,96,11450
Gotham,33,0,26,2326
Gotham,64,154,64,9768
Gotham,98,0,32,3192
Gotham,200,417,148,10370
Gotham,44,101,9,2798
Gotham,55,0,23,1523
Gotham,40,80,12,992
Gotham,80,209,40,5299
Metrópolis,131,355,74,7429
Gotham,66,30,30,2910
Gotham,98,0,14,1297
Gotham,77,209,99,8798
Gotham,293,500,16,5006
Gotham,10,21,41,2732
Gotham,178,242,39,6081
Gotham,90,0,26,3126
Gotham,64,217,64,6061
Gotham,57,50,23,2223
Gotham,240,1449,51,7588
Gotham,140,583,46,6029
Gotham,59,280,50,5650
Gotham,178,300,64,7714
Gotham,430,521,83,6104
Gotham,65,84,18,1802
Gotham,100,239,20,2842
Gotham,106,209,51,5349
Gotham,234,400,56,4136
Gotham,125,84,22,1556
Metrópolis,64,122,11,1493
Gotham,99,90,32,3012
Gotham,30,72,36,3365
Gotham,100,259,97,9456
Gotham,225,209,35,2544
Gotham,125,334,51,6385
Gotham,180,1,46,3048
Gotham,50,59,14,965
Metrópolis,55,80,18,1845
Gotham,30,0,39,3389
Gotham,30,14,13,1397
Gotham,195,280,61,4341
Gotham,109,319,83,8058
Gotham,45,57,14,999
Gotham,280,600,121,8721
Metrópolis,212,88,23,1611
Metrópolis,42,75,26,2573
Gotham,100,881,106,7987
Gotham,35,65,13,978
Gotham,70,9,27,2136
Gotham,35,0,22,1722
Gotham,180,0,136,9136
Gotham,210,717,89,10110
Gotham,96,486,47,5088
Gotham,46,298,64,6807
Gotham,68,132,51,4983
Gotham,135,650,102,11500
Gotham,190,417,51,7668
Metrópolis,75,80,18,1238
Gotham,35,70,63,5605
Gotham,40,169,20,2663
Gotham,55,0,17,2117
Gotham,49,134,33,3051
Gotham,60,0,24,2361
Metrópolis,60,60,18,1778
Gotham,190,900,35,5375
Gotham,95,121,40,4211
Gotham,125,74,23,1587
Gotham,250,0,64,4264
Gotham,230,680,75,9317
Gotham,168,322,35,4662
Gotham,132,400,102,9422
Gotham,294,600,46,3646
Gotham,25,41,27,2486
Gotham,48,35,28,2763
Gotham,98,384,28,3633
Metrópolis,226,403,36,5069
Gotham,60,0,35,2735
Gotham,55,50,26,2720
Gotham,31,84,34,2932
Gotham,150,0,25,1675
Gotham,70,0,21,1371
Gotham,234,84,89,9573
Gotham,188,550,102,9832
Gotham,198,926,51,6470
Metrópolis,57,131,33,3454
Gotham,550,449,58,4312
Gotham,240,0,121,8121
Gotham,100,105,19,3114
Gotham,167,292,70,7177
Metrópolis,85,0,11,1401
Gotham,55,18,70,7858
Gotham,56,144,41,3854
Gotham,72,60,21,2056
Gotham,190,834,58,8192
Gotham,65,0,7,2557
Gotham,290,542,121,8663
Metrópolis,45,66,12,1390
Metrópolis,54,31,18,1419
Gotham,90,50,31,2081
Metrópolis,348,400,73,5323
Gotham,251,336,52,3788
Gotham,140,273,91,6504
Gotham,220,492,53,4038
Gotham,42,0,64,5064
Metrópolis,100,81,11,1715
Metrópolis,65,34,13,1314
Gotham,70,109,26,2893
Gotham,80,134,31,2165
Gotham,28,15,17,1361
Gotham,130,260,88,9148
Gotham,145,0,13,5058
Gotham,58,0,8,1736
Gotham,100,21,33,3584
Metrópolis,62,0,3,1408
Metrópolis,55,66,10,1306
Gotham,98,250,38,4578
Gotham,159,292,39,5131
Metrópolis,60,16,12,1253
Gotham,472,650,98,7248
Gotham,128,597,39,5266
Gotham,83,238,15,2020
Gotham,50,342,32,4324
Gotham,112,32,50,3382
Metrópolis,52,63,16,1567
Gotham,40,350,61,7011
Gotham,55,0,23,2328
Gotham,365,899,108,11460
Gotham,40,318,54,6507
Gotham,25,64,27,2522
Metrópolis,85,165,39,3714
Metrópolis,170,0,47,5217
Gotham,53,60,16,1876
Gotham,85,125,40,4565
Metrópolis,45,25,11,1198
Gotham,44,30,16,1246
Gotham,92,158,32,4270
Gotham,45,59,20,1379
Gotham,60,0,19,2126
Gotham,150,452,40,5017
Gotham,35,0,17,1572
Gotham,70,150,45,4145
Gotham,350,1750,48,9558
Gotham,20,130,23,2555
Gotham,38,0,26,2215
Gotham,62,33,6,2077
Metrópolis,258,67,22,1489
Metrópolis,402,459,73,6062
Gotham,200,0,46,3046
Gotham,60,0,29,2952
Metrópolis,54,23,20,1863
Gotham,53,0,16,2166
Gotham,50,0,15,965
Metrópolis,65,53,16,1739
Metrópolis,81,128,29,3167
Gotham,68,95,44,4179
Gotham,158,529,70,8094
Gotham,114,0,26,3431
Gotham,80,227,31,3703
Metrópolis,111,283,64,6347
Gotham,160,60,108,11130
Gotham,68,0,18,1158
Metrópolis,60,0,13,1327
Gotham,110,104,36,4361
Gotham,86,84,39,4130
Gotham,48,90,16,1387
Gotham,130,200,37,4737
Gotham,36,0,23,2178
Metrópolis,220,334,43,3177
Gotham,96,400,21,3221
Gotham,280,2,53,3555
Gotham,70,44,18,1232
Gotham,102,126,22,2278
Gotham,70,0,23,2303
Gotham,35,0,24,2124
Gotham,60,100,19,2284
Gotham,500,0,34,2423
Gotham,127,250,76,5326
Gotham,75,233,12,4146
Metrópolis,105,258,49,5282
Gotham,279,834,61,6535
Gotham,100,348,77,7945
Gotham,100,0,7,2653
Gotham,120,89,68,4657
Gotham,98,0,27,4195
Metrópolis,550,578,160,11340
Gotham,100,1000,113,8613
Metrópolis,55,80,13,1673
Gotham,58,76,10,3608
Gotham,180,850,96,10100
Gotham,22,40,27,2552
Metrópolis,82,100,16,1966
Metrópolis,194,75,53,3628
Gotham,70,30,30,3200
Gotham,67,256,60,5874
Gotham,100,0,26,3226
Gotham,60,0,21,2311
Gotham,62,158,32,3200
Gotham,44,30,32,3012
Gotham,66,31,35,3676
